productId,sku,productCode,productName,category,brand,quantity,currentImageState,reasonNotMapped,recommendedFilename,suggestedFutureAction
"cmrnkzyv70082taecicmk4mxq","DET-000035","PC100","Ariel TL 4l","Detergents","Ariel","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","DET-000035.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzyvv008ataeceowiqrqp","DET-000036","PC100","Ariel front load powder 2kg","Detergents","Ariel","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","DET-000036.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzywj008itaec9hmqce2z","FOO-000497","PC100","Arjun nutrich","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000497.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz140096taech9kw101r","BAB-000017","PC100","BABYHUG TEAR FREEs","Baby Care","Babyhug","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","BAB-000017.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz2g009mtaecld72iueb","FOO-000499","PC100","BLACK CHANNA (Organic)","Food Items","Unbranded","1 kg","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000499.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz5500aitaeckkajrayu","FOO-000503","PC100","Babe di hatti tea 500gm","Food Items","Unbranded","500 g","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000503.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz5t00aqtaecsjfhib0i","FOO-000504","PC100","Badaamgiri","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000504.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz6i00aytaecdl5odz6f","FOO-000505","PC100","Badaamgiri 250gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000505.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz7y00betaecdvhvam5o","FOO-000507","PC100","Badi elachi","Food Items","Unbranded","50 g","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000507.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz8q00bmtaec7ath3caa","FOO-000508","PC100","Badshah Chhole masala 100g","Food Items","Badshah","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000508.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzz9f00butaecsp759542","FOO-000509","PC100","Badshah kitchen king 100gm","Food Items","Badshah","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000509.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzza400c2taecfz34blb9","FOO-000510","PC100","Badshah sambar masala 100g","Food Items","Badshah","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000510.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzas00cataecykwuz0m3","FOO-000511","PC100","Bajra aata1.5kg","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000511.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzc700cqtaecwwj1a1c2","HOM-000047","PC100","Ballon 50pc","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000047.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzcv00cytaec6j0qk4e1","HOM-000048","PC100","Ballon mrp25","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000048.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzdj00d6taec1dp7f8xr","FOO-000513","PC100","Bambino pasta","Food Items","Bambino","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000513.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzze800detaecusjwxodf","FOO-000514","PC100","Bambino roasted vermicili","Food Items","Bambino","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000514.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzfl00dutaec17f3ih6g","FOO-000516","PC100","Banana chips 150gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000516.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzg800e2taec80xudras","CLN-000001","PC100","Bans jhado","Cleaning","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","CLN-000001.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzgx00eataeckq7h9lc9","FOO-000517","PC100","Basmati Rice kanni @40/kg","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000517.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzhl00eitaecmfda7s5f","FOO-000518","PC100","Basmati rice 1121","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000518.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzi900eqtaecuezeiit4","CLN-000002","PC100","Bathroom Tiles Cleaner","Cleaning","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","CLN-000002.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzix00eytaec6sb5eqvv","FOO-000519","PC100","Bathu Ladoo","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000519.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzrh00fetaec8qu7h4b1","PER-000042","PC100","Bella vita deo royale voyage 100ml","Personal Care","Bella Vita","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","PER-000042.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzst00futaec529bo3ig","PER-000043","PC100","Bella vita deo royale evergreen 100ml","Personal Care","Bella Vita","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","PER-000043.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzti00g2taec00lp44im","FOO-000521","PC100","Besan 1kg","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000521.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzu600gataec96vzuz7z","FOO-000522","PC100","Besan Pakoda 200gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000522.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzw900gitaecfv3x2qua","POO-000009","PC100","Bhimseni kapur","Pooja Essentials","Unbranded","100gm","Placeholder","No exact or high-confidence unique image mapping was approved.","POO-000009.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzww00gqtaec76t7c8tz","FOO-000523","PC100","Bhujialalji Navratana mix/bhujia","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000523.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzxk00gytaeco13t9gli","FOO-000524","PC100","Bhuna channa","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000524.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzy800h6taecx0ahgyq6","FOO-000525","PC100","Bhuna channa 200gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000525.webp","Capture or approve a product-specific image for this SKU."
"cmrnkzzzl00hmtaeccypmpx72","HOM-000049","PC100","Birthday cap big","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000049.webp","Capture or approve a product-specific image for this SKU."
"cmrnl000a00hutaecfobugrgp","DIS-000039","PC100","Birthday cap small","Disposables","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","DIS-000039.webp","Capture or approve a product-specific image for this SKU."
"cmrnl000x00i2taecon53yjvf","FOO-000527","PC100","Biscuit 5rs","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000527.webp","Capture or approve a product-specific image for this SKU."
"cmrnl001l00iataeckwy7lcc6","FOO-000528","PC100","Biscuit 5rs","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000528.webp","Capture or approve a product-specific image for this SKU."
"cmrnl002b00iitaec2aynztvb","FOO-000529","PC100","Bisleri drink","Food Items","Bisleri","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000529.webp","Capture or approve a product-specific image for this SKU."
"cmrnl002y00iqtaecfkwg59go","FOO-000530","PC100","Black channa 500gm","Food Items","Unbranded","500 g","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000530.webp","Capture or approve a product-specific image for this SKU."
"cmrnl003o00iytaeckyxi4n5a","FOO-000531","PC100","Black salt 100gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000531.webp","Capture or approve a product-specific image for this SKU."
"cmrnl004d00j6taecesjmkvlw","FOO-000532","PC100","Black til","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000532.webp","Capture or approve a product-specific image for this SKU."
"cmrnl005r00jmtaeckadp6oua","FOO-000534","PC100","Boondi","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000534.webp","Capture or approve a product-specific image for this SKU."
"cmrnl007z00kataect9jb08mo","FOO-000535","PC100","Bourn vita 750gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000535.webp","Capture or approve a product-specific image for this SKU."
"cmrnl009z00kytaecqtuvkkil","HOM-000050","PC100","Bucket","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000050.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00an00l6taecnvg7fslw","HOM-000051","PC100","CAMAY SOAP CLASSIC FRAGRANCE (3*125G)","Home Care","Camay","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000051.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00bc00letaec8nop5x9b","SKN-000004","PC100","CAMAY SOAP NATURAL (3*125G)","Skin Care","Camay","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","SKN-000004.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00c200lmtaecfcqfe4ve","PER-000044","PC100","CAMAY SOAP SET","Personal Care","Camay","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","PER-000044.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00ff00mqtaec09pxn0w0","FOO-000539","PC100","CREMICA CREAM BOURBON","Food Items","Cremica","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000539.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00g400mytaec68y2qubv","FOO-000540","PC100","Cadbury chocolate toffee","Food Items","Cadbury","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000540.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00gr00n6taecsww07yy9","FOO-000541","PC100","Cadbury gems","Food Items","Cadbury","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000541.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00m700oytaec1s1jk6z4","HOM-000053","PC100","Cello tape","Home Care","Cello","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000053.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00pk00q2taec2s0f8qdk","FOO-000550","PC100","Channa daal 1kg","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000550.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00q900qataechtfcem3a","FOO-000551","PC100","Channa daal 500gm","Food Items","Unbranded","500 g","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000551.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00qx00qitaec2od2ipqw","FOO-000552","PC100","Charcoal soap","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000552.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00rm00qqtaecuad2rm4p","CLN-000003","PC100","Cherry shoe polish","Cleaning","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","CLN-000003.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00sa00qytaec18kjfpvh","CLN-000004","PC100","Cherry shoe polish liquid","Cleaning","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","CLN-000004.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00tm00retaecbzzseqx1","FOO-000553","PC100","Chia seeds100gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000553.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00uz00rutaecod9bfeea","FOO-000555","PC100","Chilli flakes","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000555.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00vm00s2taecpdjwf0oe","SKN-000006","PC100","Cinthol 9X100g","Skin Care","Cinthol","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","SKN-000006.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00wb00sataecckgn10t4","FOO-000556","PC100","Cinthol Soap_10","Food Items","Cinthol","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000556.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00wz00sitaecai4j35fv","FOO-000557","PC100","Cinthol Soap_160","Food Items","Cinthol","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000557.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00yd00sytaec6vjy0g0s","HAI-000054","PC84","Clinic Plus Strong &large 355ml","Hair Care","Clinic Plus","355 ml","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000054.webp","Capture or approve a product-specific image for this SKU."
"cmrnl00z200t6taeczrc9ykcv","HAI-000055","PC100","Clinic plus egg protien 175ml","Hair Care","Clinic Plus","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000055.webp","Capture or approve a product-specific image for this SKU."
"cmrnl011400tutaecsg2tn2sl","HOM-000054","PC100","Cloth Chapati pona","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000054.webp","Capture or approve a product-specific image for this SKU."
"cmrnl011u00u2taec0q2r3eh2","CLN-000005","PC100","Cloth brush","Cleaning","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","CLN-000005.webp","Capture or approve a product-specific image for this SKU."
"cmrnl012i00uataeczzj4y2yi","HOM-000055","PC100","Cloth clips","Home Care","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HOM-000055.webp","Capture or approve a product-specific image for this SKU."
"cmrnl013u00uqtaecqbchv4lx","FOO-000558","PC100","Coca cola 20","Food Items","Coca-Cola","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000558.webp","Capture or approve a product-specific image for this SKU."
"cmrnl014i00uytaec7h093vfu","FOO-000559","PC100","Cocoa Powder 50gm","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000559.webp","Capture or approve a product-specific image for this SKU."
"cmrnl015800v6taeche8eivkn","FOO-000560","PC100","Coconut candy","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000560.webp","Capture or approve a product-specific image for this SKU."
"cmrnl015w00vetaecqhvh5h8n","FOO-000561","PC100","Coconut laddu 2pc","Food Items","Unbranded","2 pcs","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000561.webp","Capture or approve a product-specific image for this SKU."
"cmrnl016l00vmtaecueqj9gfj","FOO-000562","PC100","Coconut oil 500ml","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000562.webp","Capture or approve a product-specific image for this SKU."
"cmrnl017a00vutaectpc80syg","FOO-000563","PC100","Coffee soap","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000563.webp","Capture or approve a product-specific image for this SKU."
"cmrnl017y00w2taec78kpgkw3","FOO-000564","PC100","Cofsils cough drop","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000564.webp","Capture or approve a product-specific image for this SKU."
"cmrnl018l00wataecurqyty5a","FOO-000565","PC100","Cold drink 2L","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000565.webp","Capture or approve a product-specific image for this SKU."
"cmrnl019a00witaecvruzcwzy","FOO-000566","PC100","Cold drink 2l","Food Items","Unbranded","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000566.webp","Capture or approve a product-specific image for this SKU."
"cmrnl019z00wqtaecqme4vqst","FOO-000567","PC100","Colgate","Food Items","Colgate","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000567.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01ao00wytaec1rvbrwys","ORA-000005","PC100","Colgate plex","Oral Care","Colgate","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","ORA-000005.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01c200xetaecqdwr7cj0","ORA-000007","PC100","Colgate super flexi brush","Oral Care","Colgate","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","ORA-000007.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01dg00xutaecqk915zpj","FOO-000568","PC100","Continental cappuccino","Food Items","Continental","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000568.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01e500y2taece5okye9q","FOO-000569","PC100","Continental coffee jar 25g","Food Items","Continental","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000569.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01eu00yataeccbic9xg8","FOO-000570","PC100","Continental special coffee pouch 50g","Food Items","Continental","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000570.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01fi00yitaecllc7ii3w","FOO-000571","PC100","Continental xtra inst coffee pouch 50g","Food Items","Continental","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000571.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01gv00yytaecy4ayl81r","FOO-000573","PC100","Cremica Digestive biscuit 150g","Food Items","Cremica","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000573.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01hk00z6taecz0u9946b","FOO-000574","PC100","Cremica Jeera biscuit","Food Items","Cremica","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000574.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01i800zetaeckuc8tbbc","FOO-000575","PC100","Cremica marie 500gm","Food Items","Cremica","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000575.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01ka0102taec7fn3p6k1","BAB-000019","PC100","Cuddles pants M","Baby Care","Cuddles","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","BAB-000019.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01kz010ataec7hr6r1e0","BAB-000020","PC100","Cuddles pants XL","Baby Care","Cuddles","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","BAB-000020.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01ln010itaec0x5gt9rc","HAI-000056","PC100","DABUR ALMAND HAIR OIL (200ml)","Hair Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000056.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01mc010qtaecuzust8i2","HAI-000057","PC100","DABUR ALMOND HAIR OIL 95ml","Hair Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000057.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01n0010ytaecns9pv4lo","HAI-000058","PC100","DABUR AMLA HAIR OIL 138ml","Hair Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000058.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01pr011utaecqy521e42","FOO-000579","PC100","DUKES DIGESTIVE BISCUIT(100g)","Food Items","Dukes","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000579.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01ru012itaecm0yvf18p","HAI-000059","PC100","Dabur sarson amla hair oil 68ml","Hair Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000059.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01si012qtaec521bo0of","SKN-000009","PC100","Dabur Baby wash/Lotion","Skin Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","SKN-000009.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01t7012ytaecep6atwmw","FOO-000582","PC100","Dabur Chawanprash 1kg","Food Items","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","FOO-000582.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01ul013etaec4h2sd8fn","HAI-000060","PC100","Dabur amla oil (275+50)ml","Hair Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000060.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01v8013mtaecm40e7t0h","HAI-000061","PC100","Dabur amla oil offer(450+90)ml","Hair Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000061.webp","Capture or approve a product-specific image for this SKU."
"cmrnl01wl0142taecbjzlfyj8","HAI-000062","PC100","Dabur baby Shampoo","Hair Care","Dabur","1 pc","Placeholder","No exact or high-confidence unique image mapping was approved.","HAI-000062.webp","Capture or approve a product-specific image for this SKU."
